"","Ensembl_ID","Gene","Frequency","Source","RNA_cell_enrichment","RNA_enriched_cell_types","RNA_tissue_enrichment","RNA_enriched_tissue_types","Protein_enrichment_tissue_type","Protein_enrichment_cell_type","Protein_enrichment_level","Tractability_sm","Tractability_ab","Tractability_PROTAC","Protein_class"
"1","ENSG00000002822","MAD1L1",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells, Endothelial cells","enhanced","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Disease related genes, Predicted intracellular proteins"
"2","ENSG00000002822","MAD1L1",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells, Endothelial cells","enhanced","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Disease related genes, Predicted intracellular proteins"
"3","ENSG00000006071","ABCC8",1,"Finngen","group enriched","Fibroblasts, Cardiomyocytes, Smooth muscle cells","group enriched","Vascular, Heart muscle",NA,NA,NA,"Clinical","Predicted High","Unknown","Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"
"4","ENSG00000008197","TFAP2D",1,"Patsy Preprint","enriched","Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"5","ENSG00000008710","PKD1",2,"AZ Secondary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in tubules","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"6","ENSG00000010704","HFE",1,"Patsy Preprint","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","Medium","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Predicted membrane proteins"
"7","ENSG00000010704","HFE",1,"Patsy Preprint","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Predicted membrane proteins"
"8","ENSG00000010818","HIVEP2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
"9","ENSG00000020633","RUNX3",1,"Finngen","enhanced","T-cells, Macrophages, Smooth muscle cells, Fibroblasts, Endothelial cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"10","ENSG00000021826","CPS1",1,"Patsy Preprint","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells","enriched","Vascular",NA,NA,NA,"Clinical","Unknown","Unknown","Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"11","ENSG00000043591","ADRB1",1,"Patsy Preprint","enriched","Cardiomyocytes","enriched","Heart muscle","kidney","proximal tubules (cell body)","Medium","Clinical","Predicted High","Unknown","FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
"12","ENSG00000043591","ADRB1",1,"Patsy Preprint","enriched","Cardiomyocytes","enriched","Heart muscle","heart muscle","cardiomyocytes","Medium","Clinical","Predicted High","Unknown","FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
"13","ENSG00000050405","LIMA1",1,"Finngen","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"14","ENSG00000051825","MPHOSPH9",1,"NatGen Paper","enhanced","Fibroblasts, Cardiomyocytes, Endothelial cells, Smooth muscle cells, Macrophages","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"15","ENSG00000051825","MPHOSPH9",1,"NatGen Paper","enhanced","Fibroblasts, Cardiomyocytes, Endothelial cells, Smooth muscle cells, Macrophages","low specificity",NA,"heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"16","ENSG00000055483","USP36",1,"NatGen Paper","enhanced","Fibroblasts, Macrophages, Endothelial cells, Smooth muscle cells, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"17","ENSG00000056558","TRAF1",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts, Macrophages","enriched","Vascular","kidney","cells in tubules","Low","Unknown","Unknown","Unknown","Cancer-related genes, Predicted intracellular proteins"
"18","ENSG00000058091","CDK14",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Proximal tubular cells, Endothelial cells","enhanced","Vascular","kidney","cells in tubules","Medium","Clinical","Predicted High","Literature","Enzymes, Predicted intracellular proteins"
"19","ENSG00000058091","CDK14",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Proximal tubular cells, Endothelial cells","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Clinical","Predicted High","Literature","Enzymes, Predicted intracellular proteins"
"20","ENSG00000061455","PRDM6",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"21","ENSG00000061987","MON2",1,"Genebass Primary","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"22","ENSG00000063438","AHRR",1,"NatGen Paper","group enriched","Macrophages, Fibroblasts, Smooth muscle cells, Endothelial cells","enriched","Vascular",NA,NA,NA,NA,NA,NA,NA
"23","ENSG00000064601","CTSA",1,"KEGG RAAS","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Vascular, Kidney","kidney","bowman's capsule, cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","High","Discovery","Predicted High","Unknown","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
"24","ENSG00000064601","CTSA",1,"KEGG RAAS","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Vascular, Kidney","heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Unknown","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
"25","ENSG00000065978","YBX1",1,"Genebass Primary","enhanced","Fibroblasts, Cardiomyocytes, Smooth muscle cells, Proximal tubular cells, Macrophages","low specificity",NA,"heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
"26","ENSG00000065978","YBX1",1,"Genebass Primary","enhanced","Fibroblasts, Cardiomyocytes, Smooth muscle cells, Proximal tubular cells, Macrophages","low specificity",NA,"kidney","cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","Medium","Unknown","Predicted High","Unknown","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
"27","ENSG00000066056","TIE1",1,"NatGen Paper","enriched","Endothelial cells","enriched","Vascular",NA,NA,NA,"Discovery","Predicted High","Unknown","Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"28","ENSG00000066185","ZMYND12",1,"NatGen Paper","enhanced","Proximal tubular cells, Fibroblasts, Cardiomyocytes, Macrophages, Smooth muscle cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"29","ENSG00000067715","SYT1",1,"Finngen","group enriched","Macrophages, Endothelial cells, Smooth muscle cells, Fibroblasts","enriched","Vascular",NA,NA,NA,"Predicted","Predicted High","Unknown","Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"30","ENSG00000068383","INPP5A",1,"Patsy Preprint","enhanced","Smooth muscle cells, Fibroblasts, Endothelial cells, Cardiomyocytes, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted High","Discovery","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"31","ENSG00000068383","INPP5A",1,"Patsy Preprint","enhanced","Smooth muscle cells, Fibroblasts, Endothelial cells, Cardiomyocytes, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Discovery","Enzymes, Metabolic proteins, Predicted intracellular proteins"
